Question,Réponse 1,Réponse 2,Réponse 3,Réponse 4,Réponse correcte,Niveau
Quel animal livre les œufs de Pâques en Suisse?,Le lapin,Le coq,La cigogne,Le renard,La cigogne,facile
Quel type de chocolat est le plus courant à Pâques?,Noir,Lait,Blanc,Aromatisé,Lait,facile
Quel pays a inventé le lapin de Pâques en chocolat?,Allemagne,France,Belgique,Suisse,Allemagne,facile
Comment appelle-t-on le dimanche avant Pâques?,Palmes,Carême,Cendres,Rameaux,Rameaux,facile
Quelle fleur est un symbole courant de Pâques aux États-Unis?,Lys,Pâquerette,Rose,Tulipe,Lys,facile
Quel jeu traditionnel joue-t-on avec des œufs à Pâques?,Cache-cache,Saut en hauteur,Rouler les œufs,Course de relais,Rouler les œufs,facile
Quelle couleur est souvent utilisée pour décorer à Pâques?,Vert,Rouge,Jaune,Bleu,Jaune,facile
Dans quel pays la tradition veut-elle que l'on plante des arbres à Pâques?,Suède,Norvège,Finlande,Danemark,Finlande,facile
Quel est le symbole de Pâques qui représente le renouveau et la vie?,L'œuf,Le lapin,La croix,Le poussin,L'œuf,facile
Que jette-t-on lors du carnaval avant Pâques en Italie?,Des fleurs,Des œufs,De l'eau,Des confettis,Des confettis,facile
Quelle est la durée traditionnelle du Carême?,40 jours,30 jours,50 jours,60 jours,40 jours,facile
Quelle tradition de Pâques implique de visiter sept églises?,Chasse aux œufs,Pèlerinage,Jeûne,Prière,Pèlerinage,facile
Quelle gourmandise est typique de Pâques en France?,Colomba,Mouna,Hot Cross Buns,Simnel Cake,Mouna,facile
Comment s'appelle la messe de Pâques célébrée à minuit?,Vigile pascale,Messe du Gallicante,Messe des Rameaux,Messe de l'Aurore,Vigile pascale,facile
Quel est le nom donné aux vacances de Pâques dans les pays chrétiens?,Semaine de la Passion,Quarantaine,Semaine Sainte,Octave de Pâques,Semaine Sainte,facile
Quelle est l'origine du mot "Carême"?,Grec,Anglais,Latin,Hébreu,Latin,moyen
Quel pays a la tradition du "Feu de Pâques"?,Allemagne,France,Italie,Espagne,Allemagne,moyen
Quel aliment ne doit pas être consommé durant le Carême selon la tradition chrétienne?,Poisson,Fruits,Viande,Legumes,Viande,moyen
Quel saint est particulièrement célébré le jeudi avant Pâques?,Saint Pierre,Saint Paul,Saint Jean,Saint Thomas,Saint Jean,moyen
Quelle est la spécialité de Pâques en Espagne?,Torrijas,Paella,Tapas,Churros,Torrijas,moyen
Quelle procession célèbre a lieu à Séville pendant la Semaine Sainte?,La Madrugá,Le Chemin de Croix,La Procession des Palmes,La Résurrection,La Madrugá,moyen
Dans quelle ville italienne a lieu une explosion de charrette à Pâques?,Rome,Venise,Milan,Florence,Florence,moyen
Quel est l'autre nom donné au Vendredi Saint dans le christianisme?,Vendredi Noir,Vendredi de la Passion,Vendredi Sacré,Vendredi Lumineux,Vendredi de la Passion,moyen
Quel roi de France a établi la tradition de l'agneau pascal?,Henri IV,Charles VII,François Ier,Louis IX,Louis IX,moyen
Quelle est la signification du jeudi Saint?,Lavement des pieds,Dernier souper de Jésus,Arrestation de Jésus,Entrée à Jérusalem,Dernier souper de Jésus,moyen
